Quicksort Dual Partition
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
290000,34.4752,34.9764,35.3304,34.2576,42.9823,43.1244,40.0839,34.6805,34.0945,34.5531,
300000,35.3879,46.6804,35.2886,38.6912,34.6399,34.6594,34.7761,37.8505,35.5867,42.8269,
310000,35.8396,35.0778,35.2884,35.5986,35.3209,37.1824,41.435,43.2132,35.5861,37.6566,
320000,35.7532,50.2082,42.6565,36.1543,49.7639,38.1409,44.0645,36.7065,35.8684,35.6531,
330000,37.5771,36.7727,38.0352,36.2545,36.985,36.3232,37.6597,41.7956,41.6541,36.6072,
340000,36.9764,41.3539,36.9563,36.7779,38.4607,37.8029,37.2544,37.3815,37.6207,40.7141,
350000,37.7328,44.4836,37.2291,42.0331,38.6334,55.0083,37.6013,37.4538,48.858,39.5099,
360000,47.6716,38.2131,37.9787,37.9713,38.0925,39.0407,42.428,37.8032,39.2543,42.2037,
370000,40.0755,43.2945,38.7977,39.1828,38.8537,39.0846,38.9391,38.4614,38.2812,41.3758,
380000,39.1927,39.5201,40.9576,38.9483,38.9027,43.4882,43.1564,41.3454,40.2592,39.3001,
390000,41.9954,43.0178,39.4873,48.3579,39.3705,40.4223,44.6135,44.5089,3320000,37658.5138,37256.7569,37188.447,37241.4047,37076.1528,37977.7798,38040.6412,37324.5775,38231.1026,38293.5064,330000,40078.2463,39890.1322,39353.9125,39529.6853,39476.149,40521.9327,40939.6162,41350.28,41949.1591,40612.0893,340000,42373.161,42111.2206,42347.2308,42938.0827,42052.6292,41639.2907,41884.0463,43233.3602,44103.0984,42346.1917,350000,44744.9709,44626.6767,45144.7059,45188.3325,45721.686,44936.078,44910.6568,47310.3372,45813.8168,44817.8426,360000,46829.5552,46890.3049,46690.3508,47013.2273,46767.574,46785.8647,46591.001,46815.7341,46867.288,46499.3314,370000,49431.4985,49309.0968,49452.9933,49299.1527,49365.9712,49560.6308,49186.835,49827.4909,49388.4631,49406.0388,380000,51824.3871,51911.124,52127.8975,51755.9619,52039.3995,51824.3734,52037.4789,51744.3426,51914.2248,51942.9935,390000,54563.3273,54709.4311,54755.571,54672.0358,54600.281,54621.2069,54486.7561,54837.7053,54697.0978,55165.4567,400000,57325.3919,57374.9923,57348.9615,57275.4369,57738.5225,57624.4198,57364.8764,57583.9069,57880.4178,48.4624,48.2175,47.7295,
520000,48.5365,56.879,46.874,50.1635,49.7621,47.3594,48.5229,47.7809,47.9728,46.7325,
530000,49.2356,47.3878,48.7134,48.5137,48.5452,47.2174,48.6967,47.8144,47.2871,46.8924,
540000,47.4145,47.2457,52.8674,52.2857,47.6608,47.151,49.1455,51.2878,49.6445,56.2161,
550000,52.1917,51.8762,48.7708,54.2179,54.9708,49.7814,50.6174,63.2074,49.3245,55.1645,
560000,51.6236,48.6356,55.6015,49.7092,49.5809,48.9659,50.0408,50.6505,57.0346,48.3903,
570000,49.4715,49.405,53.0711,56.0177,49.593,50.0244,59.654,53.4212,54.9171,55.0807,
580000,53.1929,53.6143,56.6426,50.0178,51.7048,49.6514,49.8761,52.7279,49.8353,53.3054,
590000,50.5802,54.632,49.9679,51.2048,50.0739,52.4567,58.8014,50.24,54.3094,52.6637,
600000,51.4599,51.0713,50.9358,50.8714,57.4971,51.7091,51.237,50.6854,55.0024,50.972,
610000,52.5854,51.4181,53.3782,64.1058,55.4566,60.5245,51.9352,52.5788,53.5169,51.6077,
620000,56.8452,52.3585,52.1114,63.0946,56.9567,56.0849,52.0909,53.1494,52.2106,52.2476,
630000,52.3651,52.7245,52.8031,62.6492,55.2087,53.027,56.366,63.2387,53.2522,59.8758,
640000,60.6747,57.5725,53.4532,55.203,54.7536,69.9187,55.2581,54.4066,57.213,57.6762,
650000,53.4477,55.2721,53.2825,60.3594,53.3735,58.3905,57.9557,53.8325,56.3344,53.7409,
660000,53.6049,54.4515,59.2309,53.9207,63.2062,54.2632,53.4991,61.4858,53.7608,54.0579,
670000,57.1628,61.5648,59.2929,54.6328,55.1658,55.3494,54.602,54.6062,57.256,54.4757,
680000,55.8407,56.5826,57.0748,55.3759,60.5546,55.9022,60.3494,55.7838,63.6334,55.0927,
690000,56.2484,56.1407,56.5036,57.2035,58.8088,55.8199,65.3221,56.5915,60.8749,56.3512,
700000,58.2449,58.167,63.6254,61.9809,56.7742,60.3865,56.837,61.5342,56.6862,56.9853,
710000,57.2677,57.3404,57.9121,60.2977,56.8181,58.1284,56.7666,58.4684,60.8944,61.3637,
720000,65.5116,57.5646,57.8155,57.7382,57.8512,60.9554,57.6345,58.2459,60.0305,59.1895,
730000,58.1294,58.181,57.7465,61.7778,57.9548,68.5195,69.2493,59.4705,70.1881,60.3061,
740000,60.4389,59.1881,59.8812,61.5486,59.0956,59.0435,61.0194,61.1608,60.242,64.3168,
750000,59.6312,59.3663,59.554,59.8639,58.8585,59.9493,58.6462,59.0925,61.4665,59.1835,
760000,61.029,65.2301,61.5924,71.9705,60.8116,61.6489,65.4064,67.4531,71.5908,72.8002,
770000,61.5599,75.6798,59.937,61.4164,61.137,64.9103,75.8049,60.0064,77.3975,59.8174,
780000,63.0543,64.5685,63.8312,72.8317,66.7076,67.9779,61.7177,61.6127,62.6179,62.6825,
790000,61.4691,63.7854,66.5687,61.4714,64.9267,62.3965,61.9447,62.2332,64.6158,64.2118,
800000,65.9296,67.5861,73.1496,62.3409,61.5451,61.8216,61.8215,61.9563,62.3947,64.6732,
810000,63.8888,74.2571,63.8852,62.5523,67.4852,82.4948,66.5876,67.7754,68.7855,71.2951,
