Quicksort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
880,0.0418,0.0387,0.036,0.0337,0.0315,0.03,0.0293,0.0284,0.0279,0.0275,
890,0.0431,0.0395,0.0418,0.0348,0.0326,0.031,0.0297,0.0285,0.0284,0.0274,
900,0.0431,0.0395,0.0364,0.0342,0.0325,0.031,0.0302,0.0295,0.0289,0.0283,
910,0.0427,0.0396,0.0367,0.0344,0.0325,0.0337,0.0323,0.0298,0.0294,0.0288,
920,0.0483,0.0394,0.0363,0.0371,0.0323,0.0308,0.03,0.0291,0.0286,0.0282,
930,0.044,0.0405,0.0375,0.0352,0.0337,0.0322,0.0311,0.0304,0.0296,0.029,
940,0.0446,0.0417,0.0385,0.0381,0.0345,0.0329,0.032,0.0312,0.0359,0.0302,
950,0.0442,0.0414,0.0385,0.0365,0.0346,0.0335,0.0325,0.0317,0.0312,0.0305,
960,0.0464,0.0438,0.0407,0.0383,0.0363,0.035,0.0339,0.0335,0.0327,0.0341,
970,0.0507,0.0427,0.0397,0.0433,0.0359,0.0348,0.0339,0.0333,0.0326,0.032,
980,0.0469,0.044,0.0411,0.039,0.0369,0.0356,0.0347,0.0339,0.0333,0.0327,
990,0.0465,0.0431,0.0399,0.0377,0.0357,0.0661,0.0485,0.0473,0.0448,0.0408,
1000,0.0547,0.0509,0.0487,0.0466,0.0447,0.0415,0.041,0.0417,0.0413,0.039,


Insertion Sort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
10,0.0012,3.0E-4,2.0E-4,2.0E-4,2.0E-4,1.0E-4,1.0E-4,2.0E-4,1.0E-4,1.0E-4,
20,8.0E-4,5.0E-4,5.0E-4,4.0E-4,3.0E-4,4.0E-4,3.0E-4,3.0E-4,4.0E-4,3.0E-4,
30,0.001,8.0E-4,8.0E-4,7.0E-4,7.0E-4,6.0E-4,7.0E-4,7.0E-4,6.0E-4,7.0E-4,
40,0.0014,0.0013,0.0012,0.0012,0.0012,0.001,0.0011,0.0011,0.0011,0.0012,
50,0.0018,0.0016,0.0015,0.0014,0.0014,0.0015,0.0014,0.0014,0.0014,0.0015,
60,0.0024,0.0023,0.0022,0.0021,0.002,0.002,0.002,0.002,0.002,0.0021,
70,0.0031,0.003,0.0028,0.0027,0.0027,0.0027,0.0026,0.0027,0.0027,0.0027,
80,0.0068,0.004,0.004,0.0038,0.0037,0.0054,0.0036,0.0037,0.0036,0.0036,
90,0.0048,0.0047,0.0047,0.0044,0.0045,0.0043,0.0043,0.0043,0.0044,0.0043,
100,0.0059,0.0058,0.0054,0.0054,0.0055,0.0054,0.0054,0.0054,0.0054,0.0053,
110,0.0069,0.0066,0.0067,0.0065,0.0065,0.0083,0.0064,0.0064,0.0064,0.0063,
120,0.008,0.0078,0.0076,0.0074,0.0075,0.0073,0.0074,0.0074,0.0074,0.0075,
130,0.0088,0.0085,0.0084,0.0083,0.0082,0.0082,0.0082,0.0082,0.0083,0.0081,
140,0.0109,0.0105,0.0102,0.01,0.0099,0.0099,0.01,0.0099,0.01,0.01,
150,0.0118,0.0115,0.0113,0.0111,0.0111,0.011,0.011,0.0111,0.0111,0.0111,
160,0.012,0.0139,0.0122,0.0195,0.0114,0.0114,0.0112,0.0113,0.0112,0.0113,
170,0.0163,0.0163,0.0159,0.0159,0.0156,0.0156,0.0157,0.0157,0.0156,0.0157,
180,0.0178,0.0177,0.0175,0.017,0.0171,0.0169,0.0169,0.0169,0.017,0.017,
190,0.019,0.0189,0.0187,0.0182,0.0183,0.0182,0.0184,0.0181,0.0182,0.0179,
200,0.0223,0.022,0.0221,0.0218,0.0214,0.0216,0.0215,0.0216,0.0218,0.0215,
210,0.0246,0.0243,0.0246,0.0238,0.0302,0.0703,0.0124,0.0113,0.0112,0.0112,
220,0.0128,0.0128,0.0125,0.0124,0.0128,0.0128,0.0126,0.0131,0.0128,0.0135,
230,0.0136,0.0128,0.0167,0.0133,0.0128,0.0129,0.013,0.0131,0.0132,0.0134,
240,0.0154,0.0152,0.0153,0.0214,0.0151,0.0157,0.0159,0.0155,0.0154,0.0151,
250,0.0171,0.017,0.0164,0.0169,0.0163,0.0169,0.0172,0.0169,0.0165,0.0173,
260,0.0183,0.0182,0.0188,0.0193,0.0188,0.0172,0.0186,0.0195,0.0189,0.0181,
270,0.0219,0.022,0.0279,0.0225,0.0215,0.0214,0.0214,0.0209,0.0212,0.0209,
280,0.0213,0.0222,0.0219,0.0212,0.0216,0.0219,0.021,0.0212,0.0223,0.0222,
290,0.0242,0.024,0.0322,0.023,0.0234,0.0236,0.0235,0.0253,0.0234,0.024,
300,0.0254,0.0249,0.0305,0.0254,0.0251,0.0253,0.0257,0.0245,0.0252,0.0246,
310,0.0273,0.0273,0.0267,0.0276,0.0277,0.0278,0.0268,0.0323,0.0269,0.027,
320,0.0309,0.0314,0.0312,0.0311,0.0309,0.0314,0.0316,0.0374,0.0315,0.0314,
330,0.0325,0.0323,0.0324,0.0331,0.0354,0.0322,0.0326,0.0314,0.0317,0.032,
340,0.0332,0.0328,0.0334,0.0322,0.0323,0.0322,0.0316,0.0324,0.0331,0.0366,
